Компания;Департамент;Подразделение;Отдел;Должность;Тип тругового договора;Ставка (FTE);Город
ООО ТФН;IT-департамент;;Отдел технической поддержки;Руководитель отдела;Трудовой договор;1;Москва
ООО ТФН;IT-департамент;;Отдел технической поддержки;Системный администратор Unix;Трудовой договор;1;Москва
ООО ТФН;IT-департамент;;Отдел ERP-систем;Ведущий консультант SAP R/3;Трудовой договор;1;Москва
ООО ТФН;IT-департамент;;Отдел ERP-систем;Руководитель отдела;Трудовой договор;1;Москва
ООО ТФН;IT-департамент;;Отдел ERP-систем;Консультант SAP R/3;Трудовой договор;1;Москва
ООО ТФН;IT-департамент;;Отдел ERP-систем;Консультант SAP PM-CS;Трудовой договор;1;Москва
ООО ТФН;IT-департамент;;Отдел ERP-систем;Консультант SAP FI/CO;Трудовой договор;1;Москва
ООО ТФН;IT-департамент;;Отдел ERP-систем;Консультант 1С;Трудовой договор;1;Москва
ООО ТФН;IT-департамент;;Отдел WEB-разработки;Web-программист;Трудовой договор;1;Москва
ООО ТФН;IT-департамент;;Отдел WEB-разработки;Руководитель отдела;Трудовой договор;1;Москва
ООО ТФН;IT-департамент;;Отдел WEB-разработки;Ведущий Web-программист;Трудовой договор;0.9;Москва
ООО ТФН;IT-департамент;;Отдел WEB-разработки;Младший Web-программист;Трудовой договор;1;Москва
ООО ТФН;Административно-хозяйственный отдел;;;Заместитель директора по общим вопросам;Трудовой договор;1;Москва
ООО ТФН;Административно-хозяйственный отдел;;;Менеджер;Трудовой договор;1;Москва
ООО ТФН;Административно-хозяйственный отдел;;;Техник-электрик;Трудовой договор;1;Москва
ООО ТФН;Административно-хозяйственный отдел;;;Техник-электрик;Трудовой договор;1;Москва
ООО ТФН;Департамент логистики;;;Заместитель директора департамента;Трудовой договор;1;Москва
ООО ТФН;Департамент логистики;;;Директор департамента;Трудовой договор;1;Москва
ООО ТФН;Департамент логистики;;Транспортный отдел;Водитель-экспедитор;Трудовой договор;1;Москва
ООО ТФН;Департамент логистики;;Транспортный отдел;Водитель-экспедитор;Трудовой договор;1;Москва
ООО ТФН;Департамент логистики;;Транспортный отдел;Водитель-экспедитор;Трудовой договор;1;Москва
ООО ТФН;Департамент логистики;;Транспортный отдел;Водитель-экспедитор;Трудовой договор;1;Москва
ООО ТФН;Департамент логистики;;Транспортный отдел;Водитель-экспедитор;Трудовой договор;1;Москва
ООО ТФН;Департамент логистики;;Транспортный отдел;Водитель-экспедитор;Трудовой договор;1;Москва
ООО ТФН;Департамент логистики;;Транспортный отдел;Водитель-экспедитор;Трудовой договор;1;Москва
ООО ТФН;Департамент логистики;;Транспортный отдел;Водитель-экспедитор;Трудовой договор;1;Москва
ООО ТФН;Департамент логистики;;Транспортный отдел;Водитель-экспедитор;Трудовой договор;1;Москва
ООО ТФН;Департамент логистики;;Транспортный отдел;Водитель-экспедитор;Трудовой договор;1;Москва
ООО ТФН;Департамент логистики;;Транспортный отдел;Водитель-экспедитор;Трудовой договор;1;Москва
